"target_end_date","location","target","observation"
2016-01-09,"nyc","ILI ED visits pct",4.7
2016-01-16,"nyc","ILI ED visits pct",3.5
2016-01-23,"nyc","ILI ED visits pct",3.1
2016-01-30,"nyc","ILI ED visits pct",3.2
2016-02-06,"nyc","ILI ED visits pct",3.4
2016-02-13,"nyc","ILI ED visits pct",3.7
2016-02-20,"nyc","ILI ED visits pct",4.4
2016-02-27,"nyc","ILI ED visits pct",4.9
2016-03-05,"nyc","ILI ED visits pct",4.8
2016-03-12,"nyc","ILI ED visits pct",5
2016-03-19,"nyc","ILI ED visits pct",5.8
2016-03-26,"nyc","ILI ED visits pct",4.8
2016-04-02,"nyc","ILI ED visits pct",4.3
2016-04-09,"nyc","ILI ED visits pct",3.7
2016-04-16,"nyc","ILI ED visits pct",3
2016-04-23,"nyc","ILI ED visits pct",3
2016-04-30,"nyc","ILI ED visits pct",3
2016-05-07,"nyc","ILI ED visits pct",2.6
2016-05-14,"nyc","ILI ED visits pct",2.3
2016-05-21,"nyc","ILI ED visits pct",2.1
2016-05-28,"nyc","ILI ED visits pct",2
2016-06-04,"nyc","ILI ED visits pct",2.1
2016-06-11,"nyc","ILI ED visits pct",1.9
2016-06-18,"nyc","ILI ED visits pct",1.7
2016-06-25,"nyc","ILI ED visits pct",1.8
2016-07-02,"nyc","ILI ED visits pct",1.6
2016-07-09,"nyc","ILI ED visits pct",1.7
2016-07-16,"nyc","ILI ED visits pct",1.5
2016-07-23,"nyc","ILI ED visits pct",1.4
2016-07-30,"nyc","ILI ED visits pct",1.4
2016-08-06,"nyc","ILI ED visits pct",1.4
2016-08-13,"nyc","ILI ED visits pct",1.5
2016-08-20,"nyc","ILI ED visits pct",1.4
2016-08-27,"nyc","ILI ED visits pct",1.3
2016-09-03,"nyc","ILI ED visits pct",1.5
2016-09-10,"nyc","ILI ED visits pct",1.3
2016-09-17,"nyc","ILI ED visits pct",1.2
2016-09-24,"nyc","ILI ED visits pct",1.3
2016-10-01,"nyc","ILI ED visits pct",1.8
2016-10-08,"nyc","ILI ED visits pct",2
2016-10-15,"nyc","ILI ED visits pct",1.5
2016-10-22,"nyc","ILI ED visits pct",1.5
2016-10-29,"nyc","ILI ED visits pct",1.6
2016-11-05,"nyc","ILI ED visits pct",1.6
2016-11-12,"nyc","ILI ED visits pct",1.9
2016-11-19,"nyc","ILI ED visits pct",2.1
2016-11-26,"nyc","ILI ED visits pct",2.1
2016-12-03,"nyc","ILI ED visits pct",2.4
2016-12-10,"nyc","ILI ED visits pct",2.5
2016-12-17,"nyc","ILI ED visits pct",2.8
2016-12-24,"nyc","ILI ED visits pct",3
2016-12-31,"nyc","ILI ED visits pct",3.7
2017-01-07,"nyc","ILI ED visits pct",4.8
2017-01-07,"nyc","ILI ED visits pct",3.6
2017-01-14,"nyc","ILI ED visits pct",3.7
2017-01-21,"nyc","ILI ED visits pct",4.2
2017-01-28,"nyc","ILI ED visits pct",3.9
2017-02-04,"nyc","ILI ED visits pct",3.8
2017-02-11,"nyc","ILI ED visits pct",3.6
2017-02-18,"nyc","ILI ED visits pct",3
2017-02-25,"nyc","ILI ED visits pct",2.7
2017-03-04,"nyc","ILI ED visits pct",2.1
2017-03-11,"nyc","ILI ED visits pct",1.9
2017-03-18,"nyc","ILI ED visits pct",2
2017-03-25,"nyc","ILI ED visits pct",2.1
2017-04-01,"nyc","ILI ED visits pct",2.5
2017-04-08,"nyc","ILI ED visits pct",2.4
2017-04-15,"nyc","ILI ED visits pct",2.3
2017-04-22,"nyc","ILI ED visits pct",1.8
2017-04-29,"nyc","ILI ED visits pct",1.5
2017-05-06,"nyc","ILI ED visits pct",1.5
2017-05-13,"nyc","ILI ED visits pct",1.7
2017-05-20,"nyc","ILI ED visits pct",1.7
2017-05-27,"nyc","ILI ED visits pct",1.4
2017-06-03,"nyc","ILI ED visits pct",1.6
2017-06-10,"nyc","ILI ED visits pct",1.5
2017-06-17,"nyc","ILI ED visits pct",1.4
2017-06-24,"nyc","ILI ED visits pct",1.3
2017-07-01,"nyc","ILI ED visits pct",1.3
2017-07-08,"nyc","ILI ED visits pct",1.3
2017-07-15,"nyc","ILI ED visits pct",1.2
2017-07-22,"nyc","ILI ED visits pct",1
2017-07-29,"nyc","ILI ED visits pct",1.1
2017-08-05,"nyc","ILI ED visits pct",1.1
2017-08-12,"nyc","ILI ED visits pct",1.1
2017-08-19,"nyc","ILI ED visits pct",1
2017-08-26,"nyc","ILI ED visits pct",1
2017-09-02,"nyc","ILI ED visits pct",1.1
2017-09-09,"nyc","ILI ED visits pct",1
2017-09-16,"nyc","ILI ED visits pct",1.1
2017-09-23,"nyc","ILI ED visits pct",1.4
2017-09-30,"nyc","ILI ED visits pct",1.3
2017-10-07,"nyc","ILI ED visits pct",1.3
2017-10-14,"nyc","ILI ED visits pct",1.4
2017-10-21,"nyc","ILI ED visits pct",1.6
2017-10-28,"nyc","ILI ED visits pct",1.7
2017-11-04,"nyc","ILI ED visits pct",1.9
2017-11-11,"nyc","ILI ED visits pct",2
2017-11-18,"nyc","ILI ED visits pct",2.2
2017-11-25,"nyc","ILI ED visits pct",2.3
2017-12-02,"nyc","ILI ED visits pct",2.4
2017-12-09,"nyc","ILI ED visits pct",2.5
2017-12-16,"nyc","ILI ED visits pct",2.6
2017-12-23,"nyc","ILI ED visits pct",2.9
2017-12-30,"nyc","ILI ED visits pct",3.6
2018-01-06,"nyc","ILI ED visits pct",3.6
2018-01-06,"nyc","ILI ED visits pct",3.5
2018-01-13,"nyc","ILI ED visits pct",3.8
2018-01-20,"nyc","ILI ED visits pct",5.2
2018-01-27,"nyc","ILI ED visits pct",6.6
2018-02-03,"nyc","ILI ED visits pct",7.6
2018-02-10,"nyc","ILI ED visits pct",8.7
2018-02-17,"nyc","ILI ED visits pct",8.5
2018-02-24,"nyc","ILI ED visits pct",6.1
2018-03-03,"nyc","ILI ED visits pct",3.6
2018-03-10,"nyc","ILI ED visits pct",2.7
2018-03-17,"nyc","ILI ED visits pct",2.3
2018-03-24,"nyc","ILI ED visits pct",2.3
2018-03-31,"nyc","ILI ED visits pct",2.2
2018-04-07,"nyc","ILI ED visits pct",1.9
2018-04-14,"nyc","ILI ED visits pct",1.7
2018-04-21,"nyc","ILI ED visits pct",1.6
2018-04-28,"nyc","ILI ED visits pct",1.6
2018-05-05,"nyc","ILI ED visits pct",1.6
2018-05-12,"nyc","ILI ED visits pct",1.5
2018-05-19,"nyc","ILI ED visits pct",1.5
2018-05-26,"nyc","ILI ED visits pct",1.5
2018-06-02,"nyc","ILI ED visits pct",1.6
2018-06-09,"nyc","ILI ED visits pct",1.5
2018-06-16,"nyc","ILI ED visits pct",1.5
2018-06-23,"nyc","ILI ED visits pct",1.2
2018-06-30,"nyc","ILI ED visits pct",1.1
2018-07-07,"nyc","ILI ED visits pct",1
2018-07-14,"nyc","ILI ED visits pct",1.1
2018-07-21,"nyc","ILI ED visits pct",1
2018-07-28,"nyc","ILI ED visits pct",0.8
2018-08-04,"nyc","ILI ED visits pct",0.9
2018-08-11,"nyc","ILI ED visits pct",1
2018-08-18,"nyc","ILI ED visits pct",1
2018-08-25,"nyc","ILI ED visits pct",0.9
2018-09-01,"nyc","ILI ED visits pct",1
2018-09-08,"nyc","ILI ED visits pct",1
2018-09-15,"nyc","ILI ED visits pct",1.1
2018-09-22,"nyc","ILI ED visits pct",1.5
2018-09-29,"nyc","ILI ED visits pct",1.7
2018-10-06,"nyc","ILI ED visits pct",1.8
2018-10-13,"nyc","ILI ED visits pct",1.8
2018-10-20,"nyc","ILI ED visits pct",2.1
2018-10-27,"nyc","ILI ED visits pct",2.3
2018-11-03,"nyc","ILI ED visits pct",2.2
2018-11-10,"nyc","ILI ED visits pct",2.3
2018-11-17,"nyc","ILI ED visits pct",2.4
2018-11-24,"nyc","ILI ED visits pct",2.7
2018-12-01,"nyc","ILI ED visits pct",2.5
2018-12-08,"nyc","ILI ED visits pct",2.8
2018-12-15,"nyc","ILI ED visits pct",3.2
2018-12-22,"nyc","ILI ED visits pct",3.5
2018-12-29,"nyc","ILI ED visits pct",4.4
2019-01-05,"nyc","ILI ED visits pct",4.2
2019-01-05,"nyc","ILI ED visits pct",3.8
2019-01-12,"nyc","ILI ED visits pct",3.5
2019-01-19,"nyc","ILI ED visits pct",3.9
2019-01-26,"nyc","ILI ED visits pct",3.9
2019-02-02,"nyc","ILI ED visits pct",3.8
2019-02-09,"nyc","ILI ED visits pct",3.9
2019-02-16,"nyc","ILI ED visits pct",3.8
2019-02-23,"nyc","ILI ED visits pct",3.8
2019-03-02,"nyc","ILI ED visits pct",2.7
2019-03-09,"nyc","ILI ED visits pct",2.8
2019-03-16,"nyc","ILI ED visits pct",2.7
2019-03-23,"nyc","ILI ED visits pct",2.5
2019-03-30,"nyc","ILI ED visits pct",2.4
2019-04-06,"nyc","ILI ED visits pct",2.4
2019-04-13,"nyc","ILI ED visits pct",2.5
2019-04-20,"nyc","ILI ED visits pct",2.2
2019-04-27,"nyc","ILI ED visits pct",1.9
2019-05-04,"nyc","ILI ED visits pct",1.8
2019-05-11,"nyc","ILI ED visits pct",1.7
2019-05-18,"nyc","ILI ED visits pct",1.7
2019-05-25,"nyc","ILI ED visits pct",1.9
2019-06-01,"nyc","ILI ED visits pct",1.8
2019-06-08,"nyc","ILI ED visits pct",1.6
2019-06-15,"nyc","ILI ED visits pct",1.6
2019-06-22,"nyc","ILI ED visits pct",1.5
2019-06-29,"nyc","ILI ED visits pct",1.5
2019-07-06,"nyc","ILI ED visits pct",1.3
2019-07-13,"nyc","ILI ED visits pct",1.1
2019-07-20,"nyc","ILI ED visits pct",1.2
2019-07-27,"nyc","ILI ED visits pct",1.1
2019-08-03,"nyc","ILI ED visits pct",1.3
2019-08-10,"nyc","ILI ED visits pct",1.2
2019-08-17,"nyc","ILI ED visits pct",1.1
2019-08-24,"nyc","ILI ED visits pct",1
2019-08-31,"nyc","ILI ED visits pct",1.1
2019-09-07,"nyc","ILI ED visits pct",1.1
2019-09-14,"nyc","ILI ED visits pct",1.3
2019-09-21,"nyc","ILI ED visits pct",1.8
2019-09-28,"nyc","ILI ED visits pct",1.7
2019-10-05,"nyc","ILI ED visits pct",1.5
2019-10-12,"nyc","ILI ED visits pct",1.5
2019-10-19,"nyc","ILI ED visits pct",1.6
2019-10-26,"nyc","ILI ED visits pct",1.7
2019-11-02,"nyc","ILI ED visits pct",1.8
2019-11-09,"nyc","ILI ED visits pct",2.2
2019-11-16,"nyc","ILI ED visits pct",2.4
2019-11-23,"nyc","ILI ED visits pct",2.5
2019-11-30,"nyc","ILI ED visits pct",3.1
2019-12-07,"nyc","ILI ED visits pct",3.3
2019-12-14,"nyc","ILI ED visits pct",4.1
2019-12-21,"nyc","ILI ED visits pct",5.1
2019-12-28,"nyc","ILI ED visits pct",7
2020-01-04,"nyc","ILI ED visits pct",7.3
2020-01-04,"nyc","ILI ED visits pct",7
2020-01-11,"nyc","ILI ED visits pct",6.6
2020-01-18,"nyc","ILI ED visits pct",7.1
2020-01-25,"nyc","ILI ED visits pct",7.9
2020-02-01,"nyc","ILI ED visits pct",8
2020-02-08,"nyc","ILI ED visits pct",7.2
2020-02-15,"nyc","ILI ED visits pct",5.8
2020-02-22,"nyc","ILI ED visits pct",4.6
2020-02-29,"nyc","ILI ED visits pct",3.8
2020-03-07,"nyc","ILI ED visits pct",4.9
2020-03-14,"nyc","ILI ED visits pct",7.6
2020-03-21,"nyc","ILI ED visits pct",12.6
2020-03-28,"nyc","ILI ED visits pct",14.7
2020-04-04,"nyc","ILI ED visits pct",11.6
