"as_of","location","target","target_end_date","observation"
2025-11-19,"nyc","ILI ED visits pct",2025-08-02,1.4
2025-11-19,"nyc","ILI ED visits pct",2025-08-09,1.6
2025-11-19,"nyc","ILI ED visits pct",2025-08-16,1.5
2025-11-19,"nyc","ILI ED visits pct",2025-08-23,1.5
2025-11-19,"nyc","ILI ED visits pct",2025-08-30,1.3
2025-11-19,"nyc","ILI ED visits pct",2025-09-06,1.4
2025-11-19,"nyc","ILI ED visits pct",2025-09-13,1.6
2025-11-19,"nyc","ILI ED visits pct",2025-09-20,2
2025-11-19,"nyc","ILI ED visits pct",2025-09-27,2
2025-11-19,"nyc","ILI ED visits pct",2025-10-04,1.9
2025-11-19,"nyc","ILI ED visits pct",2025-10-11,1.7
2025-11-19,"nyc","ILI ED visits pct",2025-10-18,1.9
2025-11-19,"nyc","ILI ED visits pct",2025-10-25,2
2025-11-19,"nyc","ILI ED visits pct",2025-11-01,2.1
2025-11-19,"nyc","ILI ED visits pct",2025-11-08,2.4
2025-11-19,"nyc","ILI ED visits pct",2025-11-15,2.7
2025-11-19,"boulder","Flu ED visits pct",2025-08-02,0.09
2025-11-19,"denver","Flu ED visits pct",2025-08-02,0.02
2025-11-19,"colorado-springs","Flu ED visits pct",2025-08-02,0.04
2025-11-19,"mesa","Flu ED visits pct",2025-08-02,0
2025-11-19,"larimer","Flu ED visits pct",2025-08-02,0
2025-11-19,"athens","Flu ED visits pct",2025-08-02,0.08
2025-11-19,"marietta","Flu ED visits pct",2025-08-02,0.02
2025-11-19,"south-augusta","Flu ED visits pct",2025-08-02,0.02
2025-11-19,"hall","Flu ED visits pct",2025-08-02,0.03
2025-11-19,"macon","Flu ED visits pct",2025-08-02,0.02
2025-11-19,"columbus","Flu ED visits pct",2025-08-02,0
2025-11-19,"savannah","Flu ED visits pct",2025-08-02,0.07
2025-11-19,"indianapolis","Flu ED visits pct",2025-08-02,0.01
2025-11-19,"bangor","Flu ED visits pct",2025-08-02,0
2025-11-19,"portland","Flu ED visits pct",2025-08-02,0.06
2025-11-19,"baltimore","Flu ED visits pct",2025-08-02,0.04
2025-11-19,"boston","Flu ED visits pct",2025-08-02,0.05
2025-11-19,"minnesota","Flu ED visits pct",2025-08-02,0.04
2025-11-19,"st-cloud","Flu ED visits pct",2025-08-02,0.05
2025-11-19,"rochester","Flu ED visits pct",2025-08-02,0
2025-11-19,"minneapolis","Flu ED visits pct",2025-08-02,0.06
2025-11-19,"duluth","Flu ED visits pct",2025-08-02,0
2025-11-19,"charleston","Flu ED visits pct",2025-08-02,0.08
2025-11-19,"rock-hill","Flu ED visits pct",2025-08-02,0.11
2025-11-19,"florence","Flu ED visits pct",2025-08-02,0.09
